Name,T90,Flnc,Flnc_err,Pflux1024,Pflux1024_err,Pflux64,Pflux64_err,PfluxBand,PfluxBand_err,Norm,Epk,alpha,alpha_perr,alpha_nerr,beta,W
GRB081223419,0.576,8.3448e-7,3.8567e-8,6.0516,0.178,14.7256,0.8627,2.269045e-6,2.952157e-7,0.1158294,199.671,-0.3557177,0.2711704,0.2711704,-7.906625,0.82
GRB081224887,16.448,0.000037571,1.688e-7,23.8467,0.2786,26.6693,1.1541,6.568105e-6,1.491404e-7,0.1110589,401.1379,-0.3197914,0.04219405,0.04219405,-14.52015,0.81
GRB081226509,0.192,3.4448e-7,2.7133e-8,1.6865,0.1256,8.53,0.7772,2.253567e-6,3.936421e-7,0.06882872,284.8657,0.3404819,0.5793368,0.5793368,-3.008929,0.76
GRB081230871,0.512,1.8087e-7,1.6004e-8,1.2652,0.1455,3.8423,0.6189,9.13718e-7,0,0.03471381,246.7687,0.3838138,0,0,-26.24225,0.67
GRB081231140,28.736,0.000016119,1.1725e-7,11.2137,0.2289,17.444,1.0547,1.771057e-6,8.234896e-8,0.04950506,253.3184,-0.8411593,0.07352512,0.07352512,-3.451152,0.99
GRB090101758,108.802,0.000012288,1.1393e-7,11.6615,0.2823,14.1027,1.241,1.289054e-6,1.668022e-7,0.08737603,142.0334,-0.6477532,0.1120837,0.1120837,-6.925498,0.90
GRB090102122,26.624,0.000027909,6.1005e-8,11.1669,0.2099,19.9739,0.9669,2.964657e-6,1.164381e-7,0.05462126,378.2668,-0.2740737,0.07281825,0.07281825,-7.321187,0.80
GRB090108020,0.704,7.4732e-7,1.6643e-8,7.9059,0.2514,25.4336,1.3557,3.188475e-6,4.370313e-7,0.291396,145.8965,-0.2891584,0.1896627,0.1896627,-8.278666,0.80
GRB090112332,58.369,3.919e-6,6.8364e-8,6.0285,0.3008,7.4965,1.5242,6.255987e-7,6.743567e-8,0.01942906,145.0955,-1.167213,0.2547671,0.2547671,-2.120637,3.24
GRB090112729,14.08,9.2301e-6,1.078e-7,13.2571,0.3005,18.119,1.3228,1.843458e-6,1.146484e-7,0.07738163,187.7461,-0.7078026,0.09574696,0.09574696,-3.152531,0.96
GRB090113778,17.408,1.5738e-6,4.83e-8,3.768,0.1603,6.1162,0.7141,4.720358e-7,8.275154e-8,0.01988504,202.1312,-0.6245563,0.2199011,0.2199011,-4.721095,0.90
GRB090117335,27.264,1.104e-6,3.5035e-8,3.674,0.273,5.3805,1.3962,3.88095e-7,1.199986e-7,0.01157471,175.9176,-1.237987,0.2817852,0.2817852,-3.089725,1.25
GRB090117632,75.777,0.000011938,1.9747e-7,3.2772,0.1823,5.7099,0.8186,5.204506e-7,8.748388e-8,0.01452168,247.6277,-0.9178882,0.1993527,0.1993527,-9.329878,1.02
GRB090117640,15.552,2.5311e-6,4.6993e-8,10.222,0.2142,16.8305,0.9455,5.448684e-7,4.148849e-8,0.06520001,43.96473,-1.173606,0.1491339,0.1491339,-3.949769,1.18
GRB090120627,1.856,7.6823e-7,2.0788e-8,1.8395,0.1486,4.6599,0.7662,1.64084e-6,3.391008e-7,0.008658025,2541.313,-0.6780141,0.292135,0.292135,-5.457111,0.92
GRB090126227,5.632,1.0991e-6,2.0232e-8,4.0164,0.1807,5.5191,0.779,2.376383e-7,3.686514e-8,0.1453284,42.09217,-0.3227402,0.6099676,0.6099676,-2.803948,0.93
GRB090129880,16.64,5.5712e-6,6.2011e-8,6.6032,0.2178,9.7769,1.0076,9.546301e-7,6.703233e-8,0.0189962,301.5264,-1.17375,0.1250889,0.1250889,-2.201465,2.26
GRB090131090,35.073,0.000017523,6.5675e-8,40.3066,0.4193,59.4114,1.946,2.394711e-6,6.771997e-8,1.932687,42.84119,-0.1206166,0.1787772,0.1787772,-2.607971,0.99
GRB090207777,24.832,2.4073e-6,4.1724e-8,2.7895,0.2248,3.6731,1.055,3.058684e-7,6.724417e-8,0.009082257,198.708,-1.149069,0.2761407,0.2761407,-13.51777,1.16
GRB090217206,33.281,0.000027523,3.1934e-8,9.7387,0.2471,13.0593,1.0504,3.042123e-6,1.047919e-7,0.0338837,598.6387,-0.5850757,0.06416795,0.06416795,-4.762308,0.88
GRB090222179,17.408,3.2261e-6,5.3845e-8,3.0121,0.168,4.9323,0.8507,4.626475e-7,5.84267e-8,0.03043268,140.9072,-0.3326485,0.3953273,0.3953273,-2.195044,2.03
GRB090225009,2.176,1.5352e-7,1.516e-8,1.4416,0.2791,4.6407,1.5253,5.547396e-7,1.244356e-7,0.004024547,826.2124,-0.3918394,0.6091,0.6091,-2.667209,1.01
GRB090227310,16.189,2.856e-6,2.0791e-8,3.9369,0.2673,6.6692,1.2104,1.258721e-6,9.418743e-8,0.009986308,1315.378,-0.8463307,0.1367245,0.1367245,-2.470047,1.30
GRB090227772,1.28,7.8632e-6,4.0607e-8,16.9776,0.9279,113.031,14.1411,0.00008284255,1.900286e-6,0.2201482,2029.799,-0.08728705,0.04025334,0.04025334,-3.595898,0.76
GRB090228204,0.448,6.1936e-6,2.6491e-8,16.8919,0.3203,134.009,2.7437,0.00006356114,1.422045e-6,0.3819287,854.3635,-0.1997943,0.04973492,0.04973492,-3.394213,0.80
GRB090228976,7.936,9.6376e-7,6.5781e-8,2.2767,0.2377,3.943,1.2109,1.83428e-7,5.086938e-8,0.2129306,74.28133,0.7917519,1.265625,1.265625,-2.899652,0.74
GRB090307167,29.44,1.0944e-6,3.6903e-8,1.4106,0.2422,3.9687,1.3599,9.769117e-8,1.063545e-7,0.006085938,117.4823,-0.9371209,0.8083171,0.8083171,-5.116025,1.03
GRB090308734,1.664,2.5458e-6,2.888e-8,6.5627,0.1715,12.3319,0.7141,4.707774e-6,4.840609e-7,0.03480696,1035.198,-0.6304833,0.2115628,0.2115628,-2.292293,1.60
GRB090310189,116.93,5.5426e-6,6.2044e-8,3.4339,0.1979,5.2694,0.9444,6.372189e-7,1.018434e-7,0.02332149,246.2549,-0.3281329,0.2510805,0.2510805,-11.01679,0.81
GRB090316311,10.24,1.064e-6,2.2081e-8,3.7878,0.3124,10.3181,1.2779,2.967396e-7,6.313694e-8,0.01325677,143.7895,-1.039698,0.3094647,0.3094647,-8.042805,1.09
GRB090320418,7.936,1.0047e-6,3.8549e-8,1.6018,0.1427,4.1679,0.7973,2.25951e-7,7.379635e-8,0.007878555,246.3889,-0.4447555,0.5442399,0.5442399,-9.027956,0.84
GRB090320801,29.184,1.6705e-6,6.1584e-8,4.3553,0.2472,6.0955,1.3861,3.394672e-7,6.181798e-8,0.005483371,272.8671,-1.761786,0.1644561,0.1644561,-10.81185,2.44
